media	curso	renda
45.48	LETRAS - PORTUGUÊS(LICENCIATURA)	De 10 a 30 salários mínimos
52.27	LETRAS - PORTUGUÊS(LICENCIATURA)	Acima de 30 salários mínimos
41.47	LETRAS - PORTUGUÊS E INGLÊS(LICENCIATURA)	De 3 a 4,5 salários mínimos
34.66	LETRAS - PORTUGUÊS E INGLÊS(LICENCIATURA)	Até 1,5 salário mínimo
32.41	LETRAS - PORTUGUÊS E INGLÊS(LICENCIATURA)	Não Informado
43.04	LETRAS - PORTUGUÊS E INGLÊS(LICENCIATURA)	De 4,5 a 6 salários mínimos
38.29	LETRAS - PORTUGUÊS E INGLÊS(LICENCIATURA)	De 1,5 a 3 salários mínimos
45.62	LETRAS - PORTUGUÊS E INGLÊS(LICENCIATURA)	De 6 a 10 salários mínimos
47.87	LETRAS - PORTUGUÊS E INGLÊS(LICENCIATURA)	De 10 a 30 salários mínimos
48.22	LETRAS - PORTUGUÊS E INGLÊS(LICENCIATURA)	Acima de 30 salários mínimos
34.25	LETRAS - PORTUGUÊS E ESPANHOL(LICENCIATURA)	De 1,5 a 3 salários mínimos
37.65	LETRAS - PORTUGUÊS E ESPANHOL(LICENCIATURA)	De 3 a 4,5 salários mínimos
39.72	LETRAS - PORTUGUÊS E ESPANHOL(LICENCIATURA)	De 4,5 a 6 salários mínimos
41.07	LETRAS - PORTUGUÊS E ESPANHOL(LICENCIATURA)	De 6 a 10 salários mínimos
29.75	LETRAS - PORTUGUÊS E ESPANHOL(LICENCIATURA)	Não Informado
31.78	LETRAS - PORTUGUÊS E ESPANHOL(LICENCIATURA)	Até 1,5 salário mínimo
45.42	LETRAS - PORTUGUÊS E ESPANHOL(LICENCIATURA)	De 10 a 30 salários mínimos
45.56	LETRAS - PORTUGUÊS E ESPANHOL(LICENCIATURA)	Acima de 30 salários mínimos
33.65	FÍSICA(BACHARELADO)	De 3 a 4,5 salários mínimos
45.15	FÍSICA(BACHARELADO)	De 10 a 30 salários mínimos
35.26	FÍSICA(BACHARELADO)	De 6 a 10 salários mínimos
35.83	FÍSICA(BACHARELADO)	De 4,5 a 6 salários mínimos
41.6	FÍSICA(BACHARELADO)	Não Informado
45.28	FÍSICA(BACHARELADO)	Acima de 30 salários mínimos
34.86	FÍSICA(BACHARELADO)	Até 1,5 salário mínimo
31.41	FÍSICA(BACHARELADO)	De 1,5 a 3 salários mínimos
